German,English
Ich,I
ist,is
nicht,not
Sie,she
du,you
das,the
die,the
es,it
und,and
der,the
zu,to
sie,you
Das,that
ein,a 
in,in
wir,we
Du,you
mir,me
mit,with
Was,what
den,the
mich,me
was,what
auf,on
dass,that
er,he
eine,one
Es,it
hat,has
Wir,we
Und,and
so,so
sind,are
von,from
dich,you
war,was
haben,to have
für,for
Ja,yes
hier,here
an,on
habe,have
Er,he
bin,am
wie,how
noch,still
dir,to you
uns,us
sich,itself
Die,the
nur,just
einen,a
Nein,no
dem,to the
ihn,him
auch,even
hast,have
sein,being
ihr,you
da,there
aus,the end
kann,can
aber,but
Aber,but
schon,nice
wenn,if
wird,will
um,around
Wie,how
als,as
bist,are you
im,in the
mal,just
doch,after all
gut,well
meine,my
jetzt,now
weiß,white
Wenn,if
werden,will
Der,the
nach,after
ja,yes
Oh,oh
oder,or
dann,then
will,want
mein,my
mehr,more
keine,none
etwas,some
alles,everything
muss,must
immer,always
nichts,nothing
man,one
wieder,again
bei,at
hab,have
machen,do
vor,before
Mann,man
ihm,him
einem,a
tun,do
zum,to the
können,be able
sagen,to say
werde,will
denn,then
Ist,is
Ein,on
Warum,why
einer,one
gehen,walk
sehen,see
sehr,very
geht,goes
alle,everyone
über,about
müssen,must
diese,this
einfach,simply
euch,you
des,of
nie,never
Also,so
Wo,where
los,come on
Zeit,time
Ihnen,them
gibt,are
wirklich,really
Hey,hey
Danke,thanks
deine,your
würde,would
soll,target
Da,there
hatte,would have
Hier,here
wissen,to know
bitte,you're welcome
viel,a lot of
Dann,then
So,so
gesagt,said
Ihr,your
am,at the
kein,no
Komm,come
Wer,who
zurück,return
wurde,would
In,in
wollte,wanted
Frau,woman
Leben,life
wäre,would
wo,where
damit,with it
Nicht,not
Gott,god
Leute,people
kannst,can
heute,today
meinen,mean
dieser,this
dein,your
kommt,comes
kommen,come
willst,want
Na,n / a
wollen,want
sicher,for sure
ganz,all
Jetzt,now
Mein,my
Mr,mr
also,so
zur,to the
Hast,have
Gut,good
hätte,would have
weil,because
tut,does
Hallo,hi
Okay,ok
macht,power
waren,were
bis,until
Vielleicht,perhaps
könnte,could
Eine,one
Bitte,you're welcome
weg,away
seine,his
lassen,to let
Vater,father
gesehen,seen
Nun,so
gerade,straight
Alles,all
glaube,believe
Tag,day
ab,away
Geld,money
gemacht,did
nein,no
Sir,sir
sollte,should
sagte,said
keinen,no
durch,by
zwei,two
diesen,this
passiert,happens
wohl,probably
vielleicht,perhaps
ihre,your
Mutter,mother
reden,talk
anderen,others
dachte,thought
daß,that
möchte,would like
wirst,become
gehört,heard
weißt,white
Keine,none
raus,out
Meine,my
paar,pair
besser,better
ob,if
her,from
musst,must
Ordnung,order
meiner,mine
klar,clear
ihnen,them
Los,come on
diesem,this
meinem,my
lange,long
Lass,let
dieses,this
helfen,help
unsere,our
Weg,path
selbst,even
Nur,just
finden,find
Mal,just
jemand,someone
denke,think
Ach,oh
Nacht,night
genau,exactly
gar,even
sagt,says
Welt,world
Auf,on
Mädchen,girl
ins,into the
hin,there
vom,from the
schön,beautiful
warum,why
weiter,continue
Leid,suffering
gleich,even
wer,who
Man,one
ohne,without
Menschen,people
deinen,yours
leid,suffering
Wieso,how so
dort,there
Als,when
Hause,home
sollten,should
davon,from that
zusammen,together
geben,give
Ok,ok
Hör,listening
machst,make
Freund,friend
richtig,correct
Angst,fear
Bist,are you
Tut,does
Mit,with
viele,lots
sieht,sees
Haus,house
tot,dead
sollen,must
ganze,whole
andere,other
getan,did
okay,ok
rein,pure
Diese,this
Moment,moment
bleiben,stay
